날짜,요일,주차,Day,학습 문서,학습 주제,실습 항목,학습(분),실습(분),합계(분),누적시간,완료 여부
2026-03-17,화,1주차,Day 1,"README.md, docs/review/00-overview.md",프로젝트 구조 파악,"디렉토리 구조 탐색; README 정독; 프로젝트 3개(tart-infra/middle_ware/devops_dummpy) 관계 이해",60,0,60,1h,
2026-03-17,화,1주차,Day 1,docs/architecture.md,전체 시스템 아키텍처 이해,"멀티티어(WEB→WAS→DB) 다이어그램 직접 노트에 그려보기; 4개 클러스터 역할 정리; 서비스 간 통신 흐름 그리기",60,0,60,2h,
2026-03-18,수,1주차,Day 2,docs/review/01-vm-cluster-setup.md,Tart VM + K8s 클러스터 구성,"tart clone/set으로 VM 생성; kubeadm init/join 과정 이해; tart list/kubectl get nodes 확인",60,30,90,3.5h,
2026-03-18,수,1주차,Day 2,docs/resource-budget.md,리소스 버짓 이해,"VM별 vCPU/RAM 할당표 정리; 오버커밋 2:1 비율 근거; 권장 운영 모드(풀/최소) 이해",30,0,30,4h,
2026-03-19,목,1주차,Day 3,docs/review/02-container-image-build.md,Docker 멀티스테이지 빌드,"7개 Dockerfile 분석(빌드/런타임 스테이지 분리); 레이어 캐싱 원리 이해",60,0,60,5h,
2026-03-19,목,1주차,Day 3,apps/*/Dockerfile,이미지 빌드 실행 + 크기 비교,"./scripts/build-images.sh 실행; docker images로 크기 비교(Go ~15MB vs Java ~200MB vs Rust ~50MB)",0,60,60,6h,
2026-03-20,금,1주차,Day 4,docs/review/03-kustomize-deploy.md,Kustomize base/overlay 배포,"kustomize build로 dev/staging/prod 렌더링 비교; replicas/LOG_LEVEL 차이 확인",60,0,60,7h,
2026-03-20,금,1주차,Day 4,manifests/base/ 전체,K8s 매니페스트 구조 분석 + 배포,"Deployment vs StatefulSet; resources.requests/limits; readinessProbe/livenessProbe; ./scripts/deploy.sh dev 실행",30,30,60,8h,
2026-03-21,토,1주차,Day 5,(복습),1주차 전체 복습,"VM 기동→kubectl get nodes→deploy→verify 파이프라인 재실행",30,30,60,9h,
2026-03-21,토,1주차,Day 5,docs/troubleshooting.md,트러블슈팅 가이드,"ARM64/베어메탈 K8s/Tart VM 이슈 학습; 이해 안 되는 1주차 내용 재학습",60,0,60,10h,
2026-03-24,월,2주차,Day 6,"apps/order-service/src/, apps/product-service/src/",WAS 소스코드 분석 (1/2),"order-service: JPA Entity→Repository→Service→Controller 구조 + RabbitMQ 발행; product-service: Mongoose/Redis 캐시/prom-client",120,0,120,12h,
2026-03-25,화,2주차,Day 7,"apps/cart-service/, apps/user-service/, apps/review-service/",WAS 소스코드 분석 (2/2),"cart-service(Go): Redis Hash + checkout; user-service(FastAPI): JWT/AsyncSession; review-service(Rust): Actix-web + MongoDB aggregation",120,0,120,14h,
2026-03-26,수,2주차,Day 8,docs/review/04-service-architecture.md,서비스 간 통신 흐름 + API 실습,"curl로 6개 API 전체 호출; 주문→RabbitMQ→notification-worker 로그 확인; 장바구니 checkout→order 연동",30,90,120,16h,
2026-03-27,목,2주차,Day 9,"docs/architecture.md 4절, docs/hands-on-lab.md Lab 3/4",데이터 아키텍처 + 캐시/Rate Limit,"PostgreSQL(트랜잭션)/MongoDB(문서형)/Redis(캐시) 분리 전략; Lab 3: Redis HIT/MISS 관찰; Lab 4: Rate Limiting 429/503 체험",60,60,120,18h,
2026-03-28,금,2주차,Day 10,docs/traffic-handling.md,트래픽 대응 전략 + 2주차 복습,"멀티레벨 캐시(Nginx L1→Redis L2→DB L3); HAProxy stick-table; 백프레셔; 서비스 간 통신 다이어그램 직접 그리기",90,30,120,20h,
2026-03-31,월,3주차,Day 11,"docs/review/05-autoscaling.md, manifests/overlays/prod/hpa.yaml",HPA 오토스케일링,"HPA 개념: CPU/메모리 기반 수평 스케일링; stabilizationWindow/selectPolicy; prod 배포 후 kubectl get hpa; Lab 6 실습",60,60,120,22h,
2026-04-01,화,3주차,Day 12,"docs/review/05-autoscaling.md, manifests/overlays/prod/keda-scalers.yaml",KEDA + PDB,"KEDA: 이벤트 기반 스케일링(RabbitMQ 큐 깊이); PDB: minAvailable 설정; Lab 7: 주문 100개→worker 스케일아웃 관찰",60,60,120,24h,
2026-04-02,수,3주차,Day 13,"docs/review/06-monitoring-observability.md, monitoring/service-monitors/",Prometheus + Grafana 모니터링,"각 서비스 /metrics curl 확인; ServiceMonitor CRD 분석; Grafana 대시보드 임포트; Lab 9 실습",60,60,120,26h,
2026-04-03,목,3주차,Day 14,"manifests/base/logging/efk-stack.yaml, monitoring/prometheus-rules/sla-rules.yaml",EFK 로그 수집 + SLA 알림,"EFK: Fluentd(DaemonSet)→Elasticsearch→Kibana; Lab 10 실습; PrometheusRule: P99>1s/에러율>1% PromQL 해석",60,60,120,28h,
2026-04-04,금,3주차,Day 15,(복습),3주차 복습: 오토스케일링 + 모니터링,"HPA(CPU→Pod증가) + KEDA(큐→워커증가) + PDB(최소가용) 관계 그리기; 메트릭(Prometheus) vs 로그(EFK) vs 트레이싱(Jaeger) 역할 구분",120,0,120,30h,
2026-04-07,월,4주차,Day 16,"docs/review/07-service-mesh-istio.md, manifests/istio/",Istio 서비스 메시 (1/2),"Istio 개념: 사이드카 프록시(Envoy); mTLS(PeerAuthentication STRICT); manifests/istio/ 3개 파일 분석(destination-rules/virtual-services/peer-authentication)",120,0,120,32h,
2026-04-08,화,4주차,Day 17,docs/hands-on-lab.md Lab 8,Istio 서비스 메시 (2/2) + 서킷브레이커 실습,"서킷브레이커: outlierDetection(연속5xx 3회→30초 제거); 카나리 배포 패턴; Lab 8: Pod 강제 종료 후 비정상 엔드포인트 제거 관찰",60,60,120,34h,
2026-04-09,수,4주차,Day 18,"docs/review/08-gitops-argocd.md, argocd/",ArgoCD GitOps,"GitOps 원칙; App-of-Apps 패턴; argocd/ 4개 파일 분석; Lab 12: auto-sync(dev) vs manual-sync(prod); selfHeal 테스트",60,60,120,36h,
2026-04-10,목,4주차,Day 19,"helm/devops-ecommerce/, docs/hands-on-lab.md Lab 11",Helm 차트 + Kustomize 비교,"Chart.yaml/values.yaml 구조; values-dev vs values-prod 차이; templates/ 조건부 렌더링; Lab 11: Kustomize 환경별 비교; Helm vs Kustomize 장단점 정리",60,60,120,38h,
2026-04-11,금,4주차,Day 20,"docs/traffic-simulation.md, docs/review/09-loadtest-analysis.md, loadtest/k6/",k6 부하 테스트,"MAU 1천만→DAU→RPS 산출 근거; k6 시나리오 5개 코드 분석; Lab 5: smoke test 실행; k6 출력(http_req_duration/P95/P99) 해석; Grafana 연계",60,60,120,40h,
2026-04-14,월,5주차,Day 21,docs/hands-on-lab.md Lab 13,프로덕션 풀 시나리오 재현 (E2E),"prod 풀 배포→stress-test→HPA 최대 스케일아웃(3→10)→KEDA 큐 스케일링→Grafana 실시간 관찰→서킷브레이커 동작 확인",0,120,120,42h,
2026-04-15,화,5주차,Day 22,docs/troubleshooting.md,장애 시나리오 + 트러블슈팅,"의도적 장애: DB Pod 삭제 후 복구 관찰; OOM 시뮬레이션; kubectl describe/logs/events로 원인 분석; CrashLoopBackOff 디버깅",60,60,120,44h,
2026-04-16,수,5주차,Day 23,(자체 정리),전체 아키텍처 직접 그리기,"빈 종이에 Traffic→WEB→WAS→DB 전체 아키텍처 처음부터 그리기; 기술 선택 이유 15개 항목 한 줄 정리(왜 PostgreSQL? 왜 Go? 왜 KEDA?)",120,0,120,46h,
2026-04-17,목,5주차,Day 24,README.md 10절,스크린샷 캡처 + 블로그 소재 정리,"tart list/kubectl get nodes,pods/Grafana/ArgoCD UI/k6 결과/RabbitMQ UI/HAProxy Stats 스크린샷 캡처; 블로그 시리즈 목차 확정; 1편 초안 작성",60,60,120,48h,
2026-04-18,금,5주차,Day 25,(자체 정리),최종 복습 + 면접 대비,"면접 예상 질문 자문자답(가장 어려웠던 점/오토스케일링 미작동 시/알림 대응 방법/카나리 배포); 5주 전체 빠르게 리뷰; 부족한 부분 메모",120,0,120,50h,
